date_string,cb_to_usd,et_to_usd
"2016 Aug 16, Tuesday",579.02,11.18
"2016 Aug 17, Wednesday",574.45,10.82
"2016 Aug 18, Thursday",574.09,10.77
"2016 Aug 19, Friday",573.67,10.77
"2016 Aug 20, Saturday",581.87,11.3
"2016 Aug 21, Sunday",581.29,11.21
"2016 Aug 22, Monday",585.2,11.1
"2016 Aug 23, Tuesday",582.39,11
"2016 Aug 24, Wednesday",578.47,11.01
"2016 Aug 25, Thursday",575.58,11.34
"2016 Aug 26, Friday",579.29,11.28
"2016 Aug 27, Saturday",570.84,11.18
"2016 Aug 28, Sunday",575.41,11.01
"2016 Aug 29, Monday",573.21,10.95
"2016 Aug 30, Tuesday",574.95,11.21
"2016 Aug 31, Wednesday",572.89,11.7
"2016 Sep 01, Thursday",573.02,12.05
"2016 Sep 02, Friday",576.21,12.15
"2016 Sep 03, Saturday",600.91,11.88
"2016 Sep 04, Sunday",611.92,11.77
"2016 Sep 05, Monday",605.69,11.76
"2016 Sep 06, Tuesday",612.99,11.71
"2016 Sep 07, Wednesday",615.21,11.58
"2016 Sep 08, Thursday",627.97,11.39
"2016 Sep 09, Friday",622.07,11.64
"2016 Sep 10, Saturday",623.74,12.21
"2016 Sep 11, Sunday",607.94,11.65
"2016 Sep 12, Monday",606.74,11.86
"2016 Sep 13, Tuesday",608.63,11.92
"2016 Sep 14, Wednesday",608.43,11.91
"2016 Sep 15, Thursday",605.44,11.96
"2016 Sep 16, Friday",607.93,12.58
"2016 Sep 17, Saturday",607.92,12.79
"2016 Sep 18, Sunday",611.4,12.64
"2016 Sep 19, Monday",608.6,13.17
"2016 Sep 20, Tuesday",605.6,14.56
"2016 Sep 21, Wednesday",597,13.76
"2016 Sep 22, Thursday",596.21,13.2
"2016 Sep 23, Friday",602.96,13.37
"2016 Sep 24, Saturday",603.68,12.97
"2016 Sep 25, Sunday",601.67,13.12
"2016 Sep 26, Monday",607.08,12.84
"2016 Sep 27, Tuesday",605.71,13.09
"2016 Sep 28, Wednesday",605.04,13.32
"2016 Sep 29, Thursday",605.99,13.11
"2016 Sep 30, Friday",608.99,13.23
"2016 Oct 01, Saturday",615.65,13.22
"2016 Oct 02, Sunday",612.4,13.28
"2016 Oct 03, Monday",612.99,13.51
"2016 Oct 04, Tuesday",610.34,13.32
"2016 Oct 05, Wednesday",613.16,13.09
"2016 Oct 06, Thursday",611.88,12.86
"2016 Oct 07, Friday",617.98,12.7
"2016 Oct 08, Saturday",619.5,12.26
"2016 Oct 09, Sunday",617.42,12.1
"2016 Oct 10, Monday",618.72,11.78
"2016 Oct 11, Tuesday",642.12,11.77
"2016 Oct 12, Wednesday",635.79,11.92
"2016 Oct 13, Thursday",635.66,11.87
"2016 Oct 14, Friday",638.03,11.92
"2016 Oct 15, Saturday",638.16,11.95
"2016 Oct 16, Sunday",641.92,11.95
"2016 Oct 17, Monday",639.56,11.96
"2016 Oct 18, Tuesday",635.11,12.54
"2016 Oct 19, Wednesday",629.79,12.01
"2016 Oct 20, Thursday",628.05,12.06
"2016 Oct 21, Friday",630.83,12.05
"2016 Oct 22, Saturday",652.75,12.03
"2016 Oct 23, Sunday",651.04,11.94
"2016 Oct 24, Monday",649.98,11.92
"2016 Oct 25, Tuesday",654.3,11.33
"2016 Oct 26, Wednesday",674,11.49
"2016 Oct 27, Thursday",691.21,11.48
"2016 Oct 28, Friday",689.95,11.13
"2016 Oct 29, Saturday",714.28,10.47
"2016 Oct 30, Sunday",697.41,11.19
"2016 Oct 31, Monday",696.9,10.97
"2016 Nov 01, Tuesday",730.7,10.84
"2016 Nov 02, Wednesday",744.6,10.83
"2016 Nov 03, Thursday",690,10.87
"2016 Nov 04, Friday",706.32,11.15
"2016 Nov 05, Saturday",706.99,11.16
"2016 Nov 06, Sunday",717.02,11.01
"2016 Nov 07, Monday",706.42,10.93
"2016 Nov 08, Tuesday",711.15,10.84
"2016 Nov 09, Wednesday",720.97,10.62
"2016 Nov 10, Thursday",712.91,10.51
"2016 Nov 11, Friday",716.9,10.29
"2016 Nov 12, Saturday",704.53,9.95
"2016 Nov 13, Sunday",704.01,10.14
"2016 Nov 14, Monday",708.32,10.02
"2016 Nov 15, Tuesday",712.29,10.27
"2016 Nov 16, Wednesday",739.85,10
"2016 Nov 17, Thursday",730.71,9.91
"2016 Nov 18, Friday",748.54,9.51
"2016 Nov 19, Saturday",750.77,9.68
"2016 Nov 20, Sunday",731.99,9.6
"2016 Nov 21, Monday",736.4,9.54
"2016 Nov 22, Tuesday",746.66,9.87
"2016 Nov 23, Wednesday",741.52,9.8
"2016 Nov 24, Thursday",737.99,9.18
"2016 Nov 25, Friday",739.74,9.4
"2016 Nov 26, Saturday",735.7,9.33
"2016 Nov 27, Sunday",729.24,8.98
"2016 Nov 28, Monday",729.77,8.67
"2016 Nov 29, Tuesday",732.37,8.14
"2016 Nov 30, Wednesday",742.69,8.61
"2016 Dec 01, Thursday",754,8.45
"2016 Dec 02, Friday",769.25,7.73
"2016 Dec 03, Saturday",766.98,7.86
"2016 Dec 04, Sunday",767.99,7.37
"2016 Dec 05, Monday",752,6.75
"2016 Dec 06, Tuesday",759.8,7.83
"2016 Dec 07, Wednesday",764.34,8.35
"2016 Dec 08, Thursday",767.89,8.2
"2016 Dec 09, Friday",773.22,8.47
"2016 Dec 10, Saturday",775.87,8.14
"2016 Dec 11, Sunday",771.05,8.23
"2016 Dec 12, Monday",778.94,8.5
"2016 Dec 13, Tuesday",776.18,8.41
"2016 Dec 14, Wednesday",777.66,8.24
"2016 Dec 15, Thursday",776.16,7.83
"2016 Dec 16, Friday",780.98,7.84
"2016 Dec 17, Saturday",788.57,7.85
"2016 Dec 18, Sunday",790.72,7.92
"2016 Dec 19, Monday",790.81,7.64
"2016 Dec 20, Tuesday",798.99,7.64
"2016 Dec 21, Wednesday",834.5,7.91
"2016 Dec 22, Thursday",856.02,7.55
"2016 Dec 23, Friday",917.26,7.13
"2016 Dec 24, Saturday",891.5,7.22
"2016 Dec 25, Sunday",896.12,7.19
"2016 Dec 26, Monday",902.09,7.26
"2016 Dec 27, Tuesday",925.2,7.16
"2016 Dec 28, Wednesday",982.17,7.62
"2016 Dec 29, Thursday",970.72,8.29
"2016 Dec 30, Friday",960.81,8.21
"2016 Dec 31, Saturday",973.37,8.16
"2017 Jan 01, Sunday",992.95,8.18
"2017 Jan 02, Monday",1011.45,8.38
"2017 Jan 03, Tuesday",1020.67,9.59
"2017 Jan 04, Wednesday",1130.3,11.17
"2017 Jan 05, Thursday",1007,10.23
"2017 Jan 06, Friday",895.71,10.14
"2017 Jan 07, Saturday",909,9.92
"2017 Jan 08, Sunday",923.33,10.5
"2017 Jan 09, Monday",902.66,10.39
"2017 Jan 10, Tuesday",907,10.63
"2017 Jan 11, Wednesday",795.77,9.95
"2017 Jan 12, Thursday",812.25,9.8
"2017 Jan 13, Friday",831.42,9.84
"2017 Jan 14, Saturday",828,9.86
"2017 Jan 15, Sunday",833.31,9.9
"2017 Jan 16, Monday",834.41,9.66
"2017 Jan 17, Tuesday",906,10.34
"2017 Jan 18, Wednesday",887.99,10.23
"2017 Jan 19, Thursday",902.92,10.42
"2017 Jan 20, Friday",894.31,10.62
"2017 Jan 21, Saturday",925.06,10.93
"2017 Jan 22, Sunday",931.22,10.77
"2017 Jan 23, Monday",910.7,10.8
"2017 Jan 24, Tuesday",887,10.57
"2017 Jan 25, Wednesday",896,10.55
"2017 Jan 26, Thursday",917.02,10.6
"2017 Jan 27, Friday",922.63,10.55
"2017 Jan 28, Saturday",924.98,10.58
"2017 Jan 29, Sunday",916.54,10.49
"2017 Jan 30, Monday",923.23,10.6
"2017 Jan 31, Tuesday",970.01,10.7
"2017 Feb 01, Wednesday",992.75,10.72
"2017 Feb 02, Thursday",1008.38,10.82
"2017 Feb 03, Friday",1018,10.99
"2017 Feb 04, Saturday",1035.54,11.41
"2017 Feb 05, Sunday",1016.32,11.26
"2017 Feb 06, Monday",1022.58,11.34
"2017 Feb 07, Tuesday",1053.96,11.51
"2017 Feb 08, Wednesday",1056.7,11.41
"2017 Feb 09, Thursday",994.24,11.02
"2017 Feb 10, Friday",1001.99,11.43
"2017 Feb 11, Saturday",1018.65,11.52
"2017 Feb 12, Sunday",1010,11.5
"2017 Feb 13, Monday",1002.82,11.43
"2017 Feb 14, Tuesday",1013.92,13.14
"2017 Feb 15, Wednesday",1014.53,12.98
"2017 Feb 16, Thursday",1038.94,12.89
"2017 Feb 17, Friday",1057.3,12.75
"2017 Feb 18, Saturday",1062.15,12.89
"2017 Feb 19, Sunday",1059.88,12.9
"2017 Feb 20, Monday",1089.82,12.61
"2017 Feb 21, Tuesday",1128.29,12.83
"2017 Feb 22, Wednesday",1128.71,12.75
"2017 Feb 23, Thursday",1186.9,13.21
"2017 Feb 24, Friday",1186.91,13.2
"2017 Feb 25, Saturday",1158,13.65
"2017 Feb 26, Sunday",1184.91,14.74
"2017 Feb 27, Monday",1195.81,15.66
"2017 Feb 28, Tuesday",1195.08,16.4
"2017 Mar 01, Wednesday",1230,17.37
"2017 Mar 02, Thursday",1269.17,19.27
"2017 Mar 03, Friday",1292.86,19.68
"2017 Mar 04, Saturday",1273.97,18.65
"2017 Mar 05, Sunday",1278.98,19.4
"2017 Mar 06, Monday",1284.99,19.68
"2017 Mar 07, Tuesday",1237.36,18.96
"2017 Mar 08, Wednesday",1150.22,16.68
"2017 Mar 09, Thursday",1197.3,17.82
"2017 Mar 10, Friday",1109.01,19.2
"2017 Mar 11, Saturday",1188.11,21.64
"2017 Mar 12, Sunday",1235.58,23.39
"2017 Mar 13, Monday",1245.49,28.64
"2017 Mar 14, Tuesday",1247.42,28.69
"2017 Mar 15, Wednesday",1263,35.65
"2017 Mar 16, Thursday",1175.11,45.96
"2017 Mar 17, Friday",1069.57,44.62
"2017 Mar 18, Saturday",970,33.64
"2017 Mar 19, Sunday",1019.49,43.21
"2017 Mar 20, Monday",1044.96,42.31
"2017 Mar 21, Tuesday",1114.42,42.36
"2017 Mar 22, Wednesday",1034.57,41.37
"2017 Mar 23, Thursday",1025.14,42.99
"2017 Mar 24, Friday",934.87,52.93
"2017 Mar 25, Saturday",963.72,50.5
"2017 Mar 26, Sunday",973.08,50.73
"2017 Mar 27, Monday",1042.08,48.97
"2017 Mar 28, Tuesday",1045.4,50.3
"2017 Mar 29, Wednesday",1043.27,53.1
"2017 Mar 30, Thursday",1042.34,51.88
"2017 Mar 31, Friday",1088.99,50.18
"2017 Apr 01, Saturday",1092,50.71
"2017 Apr 02, Sunday",1113.99,48.74
"2017 Apr 03, Monday",1152.6,44.25
"2017 Apr 04, Tuesday",1143.99,44.47
"2017 Apr 05, Wednesday",1132.99,44.78
"2017 Apr 06, Thursday",1192.3,43.3
"2017 Apr 07, Friday",1194,42.32
"2017 Apr 08, Saturday",1184.5,44.45
"2017 Apr 09, Sunday",1210.97,43.92
"2017 Apr 10, Monday",1210,43.92
"2017 Apr 11, Tuesday",1223.99,43.83
"2017 Apr 12, Wednesday",1214.17,46.48
"2017 Apr 13, Thursday",1177.05,49.77
"2017 Apr 14, Friday",1173.74,47.2
"2017 Apr 15, Saturday",1178.85,48.94
"2017 Apr 16, Sunday",1177.99,48.13
"2017 Apr 17, Monday",1189.91,47.94
"2017 Apr 18, Tuesday",1201.94,49.79
"2017 Apr 19, Wednesday",1214.21,47.78
"2017 Apr 20, Thursday",1236.15,49.38
"2017 Apr 21, Friday",1249.99,48.37
"2017 Apr 22, Saturday",1247,48.61
"2017 Apr 23, Sunday",1251.98,48.96
"2017 Apr 24, Monday",1257.29,50.12
"2017 Apr 25, Tuesday",1281.16,50.31
"2017 Apr 26, Wednesday",1298.44,53.42
"2017 Apr 27, Thursday",1349.26,63.67
"2017 Apr 28, Friday",1353.34,73.14
"2017 Apr 29, Saturday",1365.43,70.4
"2017 Apr 30, Sunday",1384.55,80.87
"2017 May 01, Monday",1436.5,79.35
"2017 May 02, Tuesday",1471.99,77.55
"2017 May 03, Wednesday",1533,81.29
"2017 May 04, Thursday",1563.39,95.97
"2017 May 05, Friday",1551.3,91.93
"2017 May 06, Saturday",1585.39,95.84
"2017 May 07, Sunday",1609.57,93.82
"2017 May 08, Monday",1713,89.25
"2017 May 09, Tuesday",1720.43,86.58
"2017 May 10, Wednesday",1794.99,88.36
"2017 May 11, Thursday",1837.93,88.3
"2017 May 12, Friday",1695.61,85.17
"2017 May 13, Saturday",1792.73,88.42
"2017 May 14, Sunday",1799.99,89.39
"2017 May 15, Monday",1747.81,91
"2017 May 16, Tuesday",1777.48,87.98
"2017 May 17, Wednesday",1813.23,86.88
"2017 May 18, Thursday",1899.16,96.2
"2017 May 19, Friday",1976.23,125.14
"2017 May 20, Saturday",2058.91,123.63
"2017 May 21, Sunday",2057,148.78
"2017 May 22, Monday",2123.29,160.1
"2017 May 23, Tuesday",2272.75,169.95
"2017 May 24, Wednesday",2432.97,196.06
"2017 May 25, Thursday",2355,181.51
"2017 May 26, Friday",2272.7,163.8
"2017 May 27, Saturday",2099.99,159.91
"2017 May 28, Sunday",2232.78,175.48
"2017 May 29, Monday",2279.48,194.82
"2017 May 30, Tuesday",2191.58,228.69
"2017 May 31, Wednesday",2303.29,229.14
"2017 Jun 01, Thursday",2419.99,221.91
"2017 Jun 02, Friday",2478.99,222.04
"2017 Jun 03, Saturday",2548.05,224.95
"2017 Jun 04, Sunday",2521.36,245.5
"2017 Jun 05, Monday",2698,248
"2017 Jun 06, Tuesday",2871.29,264.22
"2017 Jun 07, Wednesday",2685.64,255.68
"2017 Jun 08, Thursday",2799.73,258.64
"2017 Jun 09, Friday",2811.39,279.38
"2017 Jun 10, Saturday",2931.15,340.2
"2017 Jun 11, Sunday",2998.98,343.01
"2017 Jun 12, Monday",2655.71,397.37
"2017 Jun 13, Tuesday",2709.01,388
"2017 Jun 14, Wednesday",2432.21,341.7
"2017 Jun 15, Thursday",2409.98,343.71
"2017 Jun 16, Friday",2480.43,354.26
"2017 Jun 17, Saturday",2634.94,368.98
"2017 Jun 18, Sunday",2515.25,351.85
"2017 Jun 19, Monday",2596.98,358.71
"2017 Jun 20, Tuesday",2725.08,350.94
"2017 Jun 21, Wednesday",2643.35,325.41
"2017 Jun 22, Thursday",2679.99,320.02
"2017 Jun 23, Friday",2690.76,326.99
"2017 Jun 24, Saturday",2574.84,304.5
"2017 Jun 25, Sunday",2505.61,278.49
"2017 Jun 26, Monday",2407.91,252.99
"2017 Jun 27, Tuesday",2575.75,287.23
"2017 Jun 28, Wednesday",2553.12,315.32
"2017 Jun 29, Thursday",2530,292.95
"2017 Jun 30, Friday",2455.19,280.04
"2017 Jul 01, Saturday",2423.63,263.12
"2017 Jul 02, Sunday",2516.66,285
"2017 Jul 03, Monday",2542.41,276.37
"2017 Jul 04, Tuesday",2602,269.2
"2017 Jul 05, Wednesday",2616.96,266.27
"2017 Jul 06, Thursday",2604.84,266.01
"2017 Jul 07, Friday",2501.15,241.28
"2017 Jul 08, Saturday",2561.11,246.64
"2017 Jul 09, Sunday",2508.99,238.81
"2017 Jul 10, Monday",2331.05,202.86
"2017 Jul 11, Tuesday",2310.01,190.57
"2017 Jul 12, Wednesday",2383.42,224.04
"2017 Jul 13, Thursday",2340,205
"2017 Jul 14, Friday",2217.24,197.23
"2017 Jul 15, Saturday",1964.31,167.72
"2017 Jul 16, Sunday",1911.78,155.68
"2017 Jul 17, Monday",2235.19,190.87
"2017 Jul 18, Tuesday",2308.15,227.01
"2017 Jul 19, Wednesday",2258.99,194.74
"2017 Jul 20, Thursday",2873.48,226.06
"2017 Jul 21, Friday",2657.45,216.6
"2017 Jul 22, Saturday",2825.27,230.69
"2017 Jul 23, Sunday",2754.28,228.31
"2017 Jul 24, Monday",2762.26,225.96
"2017 Jul 25, Tuesday",2564,203.78
"2017 Jul 26, Wednesday",2525.99,203.23
"2017 Jul 27, Thursday",2664.99,202.94
"2017 Jul 28, Friday",2786.07,190.72
"2017 Jul 29, Saturday",2700.21,205.9
"2017 Jul 30, Sunday",2723.99,196.95
"2017 Jul 31, Monday",2856.88,200.82
"2017 Aug 01, Tuesday",2732.59,225.73
"2017 Aug 02, Wednesday",2699.9,217.92
"2017 Aug 03, Thursday",2787.02,224
"2017 Aug 04, Friday",2857.34,220.72
"2017 Aug 05, Saturday",3243.49,251.85
"2017 Aug 06, Sunday",3222.22,263.96
"2017 Aug 07, Monday",3398.23,269.9
"2017 Aug 08, Tuesday",3422.43,295.95
"2017 Aug 09, Wednesday",3342.8,295.26
"2017 Aug 10, Thursday",3444.98,300.51
"2017 Aug 11, Friday",3656.15,309.65
"2017 Aug 12, Saturday",3874,308.35
"2017 Aug 13, Sunday",4060.47,296.66
"2017 Aug 14, Monday",4320.6,299.16
"2017 Aug 15, Tuesday",4159.93,286.71
"2017 Aug 16, Wednesday",4370.01,300.45
"2017 Aug 17, Thursday",4280.01,300.67
"2017 Aug 18, Friday",4101.72,292.87
"2017 Aug 19, Saturday",4157.41,293.58
"2017 Aug 20, Sunday",4050.99,297.79
"2017 Aug 21, Monday",4002,322
"2017 Aug 22, Tuesday",4092,314.19
"2017 Aug 23, Wednesday",4143.49,317.5
"2017 Aug 24, Thursday",4312.03,324.56
"2017 Aug 25, Friday",4360,330.14
"2017 Aug 26, Saturday",4344.32,332.99
"2017 Aug 27, Sunday",4340.11,348.2
"2017 Aug 28, Monday",4384.99,347.54
"2017 Aug 29, Tuesday",4599,372.48
"2017 Aug 30, Wednesday",4581.98,384.1
"2017 Aug 31, Thursday",4743.94,389.2
"2017 Sep 01, Friday",4947.99,392.87
"2017 Sep 02, Saturday",4649.99,354.87
"2017 Sep 03, Sunday",4626.05,353.06
"2017 Sep 04, Monday",4498.25,316.86
"2017 Sep 05, Tuesday",4432.51,320.08
"2017 Sep 06, Wednesday",4616.18,339.38
"2017 Sep 07, Thursday",4624.18,335.56
"2017 Sep 08, Friday",4350,307.96
"2017 Sep 09, Saturday",4334.36,304.99
"2017 Sep 10, Sunday",4251.36,300.33
"2017 Sep 11, Monday",4210.72,298.47
"2017 Sep 12, Tuesday",4164.52,294.5
"2017 Sep 13, Wednesday",3855.32,275.71
"2017 Sep 14, Thursday",3250.4,223.85
"2017 Sep 15, Friday",3740.02,260.88
"2017 Sep 16, Saturday",3726.51,255.84
"2017 Sep 17, Sunday",3719.97,259.66
"2017 Sep 18, Monday",4100,298
"2017 Sep 19, Tuesday",3910.11,282.8
"2017 Sep 20, Wednesday",3872.06,283.55
"2017 Sep 21, Thursday",3617.47,258.11
"2017 Sep 22, Friday",3619.01,263.88
"2017 Sep 23, Saturday",3787.33,286.03
"2017 Sep 24, Sunday",3669.01,283.21
"2017 Sep 25, Monday",3919.78,294.41
"2017 Sep 26, Tuesday",3885.09,288.77
"2017 Sep 27, Wednesday",4200,309.85
"2017 Sep 28, Thursday",4189.42,302.33
"2017 Sep 29, Friday",4156.99,291.88
"2017 Sep 30, Saturday",4339,301.57
"2017 Oct 01, Sunday",4394.81,303.25
"2017 Oct 02, Monday",4392.71,296.72
"2017 Oct 03, Tuesday",4307.99,292.36
"2017 Oct 04, Wednesday",4214.84,292
"2017 Oct 05, Thursday",4320.04,294.89
"2017 Oct 06, Friday",4362.99,307.73
"2017 Oct 07, Saturday",4425,311.12
"2017 Oct 08, Sunday",4603.49,309.2
"2017 Oct 09, Monday",4769.55,297
"2017 Oct 10, Tuesday",4750,297.99
"2017 Oct 11, Wednesday",4814.99,302
"2017 Oct 12, Thursday",5440,302.12
"2017 Oct 13, Friday",5624.8,335.89
"2017 Oct 14, Saturday",5819.13,338.37
"2017 Oct 15, Sunday",5693.7,336.89
"2017 Oct 16, Monday",5754.9,334.36
"2017 Oct 17, Tuesday",5594,316.37
"2017 Oct 18, Wednesday",5574.44,313.59
"2017 Oct 19, Thursday",5704.01,308.02
"2017 Oct 20, Friday",5989.1,303.15
"2017 Oct 21, Saturday",6024.86,300
"2017 Oct 22, Sunday",6005.05,295.14
"2017 Oct 23, Monday",5905.99,285.83
"2017 Oct 24, Tuesday",5525.43,296.99
"2017 Oct 25, Wednesday",5739.97,296.76
"2017 Oct 26, Thursday",5891.61,295.98
"2017 Oct 27, Friday",5780,297.59
"2017 Oct 28, Saturday",5752.01,295.11
"2017 Oct 29, Sunday",6140.01,303.38
"2017 Oct 30, Monday",6124.16,306.87
"2017 Oct 31, Tuesday",6445.01,303.51
"2017 Nov 01, Wednesday",6783.69,290.82
"2017 Nov 02, Thursday",7039.98,285.4
"2017 Nov 03, Friday",7170.01,306
"2017 Nov 04, Saturday",7412.55,301.66
"2017 Nov 05, Sunday",7392,296.57
"2017 Nov 06, Monday",6969.76,297.32
"2017 Nov 07, Tuesday",7126.63,292.42
"2017 Nov 08, Wednesday",7467.96,307.91
"2017 Nov 09, Thursday",7156,320.72
"2017 Nov 10, Friday",6577.62,298.04
"2017 Nov 11, Saturday",6346.7,315.69
"2017 Nov 12, Sunday",5886.35,307.1
"2017 Nov 13, Monday",6535.87,315.56
"2017 Nov 14, Tuesday",6605,335.04
"2017 Nov 15, Wednesday",7294,331.81
"2017 Nov 16, Thursday",7838.53,330.21
"2017 Nov 17, Friday",7714.71,332.31
"2017 Nov 18, Saturday",7777.01,346.6
"2017 Nov 19, Sunday",8031.82,354.59
"2017 Nov 20, Monday",8256.01,368.24
"2017 Nov 21, Tuesday",8109,361.51
"2017 Nov 22, Wednesday",8250,381.73
"2017 Nov 23, Thursday",8031.16,406.61
"2017 Nov 24, Friday",8215.01,470.98
"2017 Nov 25, Saturday",8795.5,466.77
"2017 Nov 26, Sunday",9401.11,473.99
"2017 Nov 27, Monday",9768.71,477.53
"2017 Nov 28, Tuesday",9949,468.52
"2017 Nov 29, Wednesday",9935.98,434.01
"2017 Nov 30, Thursday",9903,434
"2017 Dec 01, Friday",10869.84,463.82
"2017 Dec 02, Saturday",10930.24,460.34
"2017 Dec 03, Sunday",11290,465
"2017 Dec 04, Monday",11643.98,468.22
"2017 Dec 05, Tuesday",11718.35,457.3
"2017 Dec 06, Wednesday",14090,432.49
"2017 Dec 07, Thursday",17390.01,433.28
"2017 Dec 08, Friday",16367.03,463.45
"2017 Dec 09, Saturday",15309.98,485.04
"2017 Dec 10, Sunday",15290.01,447.51
"2017 Dec 11, Monday",16885.76,518
"2017 Dec 12, Tuesday",17730.12,686.82
"2017 Dec 13, Wednesday",16689.61,711.94
"2017 Dec 14, Thursday",16749.78,705.01
"2017 Dec 15, Friday",17738.67,693.5
"2017 Dec 16, Saturday",19650.01,703.59
"2017 Dec 17, Sunday",19378.99,732.18
"2017 Dec 18, Monday",19039.01,785.65
"2017 Dec 19, Tuesday",17838.73,826.65
"2017 Dec 20, Wednesday",16496.89,802.86
"2017 Dec 21, Thursday",15758.8,796.98
"2017 Dec 22, Friday",14210.57,682.11
"2017 Dec 23, Saturday",15075.89,732.8
"2017 Dec 24, Sunday",14221.94,697.04
"2017 Dec 25, Monday",14171.98,740.5
"2017 Dec 26, Tuesday",15790.88,755.07
"2017 Dec 27, Wednesday",15367.08,739.99
"2017 Dec 28, Thursday",14450.01,719.5
"2017 Dec 29, Friday",14565.05,748.89
"2017 Dec 30, Saturday",12839.99,710.58
"2017 Dec 31, Sunday",13863.13,741.27
"2018 Jan 01, Monday",13480.01,759.03
"2018 Jan 02, Tuesday",14781.51,865
"2018 Jan 03, Wednesday",15098.14,938.31
"2018 Jan 04, Thursday",15144.99,949
"2018 Jan 05, Friday",16960.01,969.27
"2018 Jan 06, Saturday",17098.99,1006.68
"2018 Jan 07, Sunday",16174.22,1118.3
"2018 Jan 08, Monday",14993.74,1137.01
"2018 Jan 09, Tuesday",14480.99,1290.01
"2018 Jan 10, Wednesday",14875.18,1246.94
